Age	Fare	Name	Parents/Children Aboard	Pclass	Sex	Siblings/Spouses Aboard	Survived
22.0	7.25	Mr. Owen Harris Braund	0	3	male	1	0
38.0	71.2833	Mrs. John Bradley (Florence Briggs Thayer) Cumings	0	1	female	1	1
4.0	16.7	Miss. Marguerite Rut Sandstrom	1	3	female	1	1
29.0	7.8958	Mr. Pastcho Petroff	0	3	male	0	0
21.0	77.2875	Mr. Richard Frasar White	1	1	male	0	0
33.0	8.6542	Mr. Gustaf Joel Johansson	0	3	male	0	0
37.0	7.925	Mr. Anders Vilhelm Gustafsson	0	3	male	2	0
28.0	7.8958	Mr. Stoytcho Mionoff	0	3	male	0	0
21.0	7.65	Miss. Anna Kristine Salkjelsvik	0	3	female	0	1
29.0	7.775	Mr. Albert Johan Moss	0	3	male	0	1
38.0	7.8958	Mr. Tido Rekic	0	3	male	0	0
28.0	24.15	Miss. Bertha Moran	0	3	female	1	1
47.0	52.0	Mr. Walter Chamberlain Porter	0	1	male	0	0
58.0	26.55	Miss. Elizabeth Bonnell	0	1	female	0	1
14.5	14.4542	Miss. Hileni Zabour	0	3	female	1	0
22.0	8.05	Mr. David John Barton	0	3	male	0	0
20.0	9.825	Miss. Katriina Jussila	0	3	female	1	0
17.0	14.4583	Miss. Malake Attalah	0	3	female	0	0
21.0	7.925	Mr. Edvard Pekoniemi	0	3	male	0	0
70.5	7.75	Mr. Patrick Connors	0	3	male	0	0
29.0	21.0	Mr. William John Robert Turpin	0	2	male	1	0
24.0	247.5208	Mr. Quigg Edmond Baxter	1	1	male	0	0
2.0	31.275	Miss. Ellis Anna Maria Andersson	2	3	female	4	0
21.0	73.5	Mr. Stanley George Hickman	0	2	male	2	0
20.0	8.05	Mr. William Henry Saundercock	0	3	male	0	0
19.0	8.05	Mr. Leonard Charles Moore	0	3	male	0	0
32.5	30.0708	Mr. Nicholas Nasser	0	2	male	1	0
32.5	13.0	Miss. Susan Webber	0	2	female	0	1
54.0	77.2875	Mr. Percival Wayland White	1	1	male	0	0
12.0	11.2417	Master. Elias Nicola-Yarred	0	3	male	1	1
19.0	7.75	Mr. Martin McMahon	0	3	male	0	0
24.0	7.1417	Mr. Fridtjof Arne Madsen	0	3	male	0	1
2.0	22.3583	Miss. Anna Peter	1	3	female	1	1
45.0	6.975	Mr. Johan Ekstrom	0	3	male	0	0
33.0	7.8958	Mr. Jozef Drazenoic	0	3	male	0	0
39.0	31.275	Mr. Anders Johan Andersson	5	3	male	1	0
20.0	7.05	Mr. Domingos Fernandeo Coelho	0	3	male	0	0
47.0	14.5	Mrs. Alexander A (Grace Charity Laury) Robins	0	3	female	1	0
29.0	26.0	Mrs. Leopold (Mathilde Francoise Pede) Weisz	0	2	female	1	1
25.0	13.0	Mr. Samuel James Hayden Sobey	0	2	male	0	0
23.0	15.0458	Mr. Emile Richard	0	2	male	0	0
19.0	26.2833	Miss. Helen Monypeny Newsom	2	1	female	0	1
37.0	53.1	Mr. Jacques Heath Futrelle	0	1	male	1	0
16.0	9.2167	Mr. Olaf Elon Osen	0	3	male	0	0
24.0	79.2	Mr. Victor Giglio	0	1	male	0	0
40.0	15.2458	Mrs. Joseph (Sultana) Boulos	2	3	female	0	0
14.0	7.8542000000000005	Miss. Hulda Amanda Adolfina Vestrom	0	3	female	0	0
22.0	7.75	Miss. Anna Sofia Nysten	0	3	female	0	1
24.0	15.85	Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen	0	3	female	1	1
19.0	6.75	Mr. Jeremiah Burke	0	3	male	0	0
